id,object_id,cog_x,cog_y,cog_z,weight,mat,assieme,end1,end2,nested,object_type,subasm,locazione,t,length,length2,incr1,incr2,idn,costr,block,type
534192,adb9a4e4-c8fb-4e31-9fdb-63fa8233b9dd,11976,-355,482,0.2,AH36,*,-,-,false,part,G01,MISC,FLAT,0,-,0,0,311,14146,BL02,THK10
534202,db7b0aba-485e-441b-bb4a-db7302ab3835,7013,3038,4064,3.9,AH36,B52,BF10,BF10,false,stiffner,G01,BOX,FLAT,1057,-,0,0,884,14146,BL02,L50x50x5
534211,f6d77e09-53d8-46f2-9535-6cd2a5052193,10015,3647,1738,103.3,AH36,D01,-,-,false,part,G01,SHELL,BENT UNREGULAR,0,-,0,0,7005,14146,BL02,THK15
534223,81dd046c-200e-43b0-b610-f2e465db8d1d,10254,-4235,2948,1,AH36,D01,BI02,BI02,false,stiffner,G01,SHELL,BENT UNREGULAR,443,-,0,0,877,14146,BL02,FB60x5
534233,fc4533d2-96d9-45a9-bb69-c0d7fc6d3f3d,11254,-4253,3648,1,AH36,D02,BI02,BI02,false,stiffner,G01,SHELL,BENT UNREGULAR,443,-,0,0,869,14146,BL02,FB60x5
534077,441081e5-ff6d-4922-865f-4ff8f4372429,11945,-4241,2558,195.8,AH36,D01,-,-,false,part,G01,SHELL,BENT UNREGULAR,0,-,0,0,7007,14146,BL02,THK9
534087,52747883-83a7-426a-8b95-899a09b05676,10004,-2723,4538,13.9,AH36,B34,-,-,false,part,G01,FR_10,FLAT,0,-,0,0,182,14146,BL02,THK8
534097,d10635b2-a048-445c-bd70-5ee90c108edb,6047,-3346,2768,2.3,AH36,B17,BI02,BF30,false,stiffner,G01,FR_6,FLAT,463,-,0,0,588,14146,BL02,FB80x8
534108,3be08d02-9a51-41a7-bfa3-51b53a5e8fdf,8480,0,1623,3.2,AH36,B28,BI02,BI02,false,stiffner,G01,FR_8.5,FLAT,2030,-,0,0,710,14146,BL02,FB40x5
534118,332ecb74-fe86-4aeb-89db-2f2d02107bb7,7003,3396,2339,4.4,AH36,B20,BF10,BF10,false,stiffner,G01,FR_7,"BENT - 100,00000000032",1167,-,0,0,632,14146,BL02,FB60x8
534130,a3590a70-8150-44d6-857a-7720529b674f,10960,1436,4436,3.8,AH36,E05,BF10,BF10,false,stiffner,G01,H.4550,FLAT,1007,-,0,0,739,14146,BL02,FB60x8
534143,8141653c-290d-407f-bf38-72a17ce59768,10960,-716,4436,3.8,AH36,E05,BF10,BF10,false,stiffner,G01,H.4550,FLAT,1007,-,0,0,739,14146,BL02,FB60x8
